city;city_ascii;city_alt;lat;lng;country;iso2;iso3
Paris;Paris;;48,8566;2,3522;France;FR;FRA
Nice;Nice;;43,7034;7,2663;France;FR;FRA
Toulouse;Toulouse;;43,6045;1,444;France;FR;FRA
Marseille;Marseille;Marsella|Marseilles|Marsiglia;43,2964;5,37;France;FR;FRA
Rennes;Rennes;Roazhon;48,1147;-1,6794;France;FR;FRA
Grenoble;Grenoble;;45,1715;5,7224;France;FR;FRA
Nantes;Nantes;Naoned;47,2181;-1,5528;France;FR;FRA
Montpellier;Montpellier;;43,6119;3,8772;France;FR;FRA
Lyon;Lyon;Lyons;45,76;4,84;France;FR;FRA
Rouen;Rouen;;49,4428;1,0886;France;FR;FRA
Strasbourg;Strasbourg;Strassbourg|Straszburg|Strasburg|Strassburg;48,5833;7,7458;France;FR;FRA
Nancy;Nancy;;48,6936;6,1846;France;FR;FRA
Metz;Metz;Divodurum|Mettis|Mediomatricum;49,1203;6,1778;France;FR;FRA
Brest;Brest;;48,39;-4,49;France;FR;FRA
Mulhouse;Mulhouse;Mulhousen;47,75;7,34;France;FR;FRA
Limoges;Limoges;Limages;45,8353;1,2625;France;FR;FRA
Orl?ans;Orleans;;47,9025;1,909;France;FR;FRA
Bordeaux;Bordeaux;Burdigala;44,84;-0,58;France;FR;FRA
Le Havre;Le Havre;;49,49;0,1;France;FR;FRA
Lille;Lille;;50,6278;3,0583;France;FR;FRA
Reims;Reims;Rheims;49,2628;4,0347;France;FR;FRA
Saint-?tienne;Saint-Etienne;;45,4347;4,3903;France;FR;FRA
Toulon;Toulon;Toulon-sur-Mer;43,1258;5,9306;France;FR;FRA
Dijon;Dijon;Diviodunum;47,3167;5,0167;France;FR;FRA
Angers;Angers;;47,4736;-0,5542;France;FR;FRA
N?mes;Nimes;Nismes;43,838;4,361;France;FR;FRA
Villeurbanne;Villeurbanne;;45,7667;4,8803;France;FR;FRA
Clermont-Ferrand;Clermont-Ferrand;Clermont;45,7831;3,0824;France;FR;FRA
Le Mans;Le Mans;;48,0077;0,1984;France;FR;FRA
Aix-en-Provence;Aix-en-Provence;Aix;43,5263;5,4454;France;FR;FRA
Amiens;Amiens;;49,892;2,299;France;FR;FRA
Tours;Tours;;47,2436;0,6892;France;FR;FRA
Boulogne-sur-Mer;Boulogne-sur-Mer;Boulogne;50,7264;1,6147;France;FR;FRA
Annecy;Annecy;;45,916;6,133;France;FR;FRA
Perpignan;Perpignan;;42,6986;2,8956;France;FR;FRA
Boulogne-Billancourt;Boulogne-Billancourt;Boulogne-sur-Seine|Billancourt|Boulogne;48,8352;2,2409;France;FR;FRA
Besan?on;Besancon;Becoinson;47,24;6,02;France;FR;FRA
Belfort;Belfort;;47,64;6,85;France;FR;FRA
Saint-Denis;Saint-Denis;;48,9356;2,3539;France;FR;FRA
Argenteuil;Argenteuil;;48,95;2,25;France;FR;FRA
Montreuil;Montreuil;Montreuil-sous-Bois;48,8611;2,4436;France;FR;FRA
Caen;Caen;;49,18;-0,37;France;FR;FRA
Roubaix;Roubaix;;50,6901;3,1817;France;FR;FRA
Tourcoing;Tourcoing;;50,7239;3,1612;France;FR;FRA
Nanterre;Nanterre;;48,8988;2,1969;France;FR;FRA
Avignon;Avignon;;43,95;4,8075;France;FR;FRA
Vitry-sur-Seine;Vitry-sur-Seine;Vitry;48,7875;2,3928;France;FR;FRA
?pinal;Epinal;;48,1744;6,4512;France;FR;FRA
Cr?teil;Creteil;;48,7911;2,4628;France;FR;FRA
Poitiers;Poitiers;;46,58;0,34;France;FR;FRA
Dunkerque;Dunkerque;Dunkirk;51,0383;2,3775;France;FR;FRA
Aubervilliers;Aubervilliers;Aubervilles;48,9131;2,3831;France;FR;FRA
Versailles;Versailles;;48,8053;2,135;France;FR;FRA
Aulnay-sous-Bois;Aulnay-sous-Bois;Aulnay;48,9386;2,4906;France;FR;FRA
Carri?res-sur-Seine;Carrieres-sur-Seine;Carri?res;48,9108;2,2889;France;FR;FRA
Colombes;Colombes;;48,9236;2,2522;France;FR;FRA
Courbevoic;Courbevoic;;48,8978;2,2531;France;FR;FRA
Rueil-Malmaison;Rueil-Malmaison;Rueil;48,876;2,181;France;FR;FRA
Champigny-sur-Marne;Champigny-sur-Marne;Champigny;48,8172;2,5156;France;FR;FRA
B?ziers;Beziers;;43,3476;3,219;France;FR;FRA
Pau;Pau;;43,3;-0,37;France;FR;FRA
La Rochelle;La Rochelle;;46,1591;-1,1517;France;FR;FRA
Saint-Maur-des-Foss?s;Saint-Maur-des-Fosses;Saint-Maur|Saint-Maur-les-Foss?s;48,7994;2,4997;France;FR;FRA
Calais;Calais;;50,9481;1,8564;France;FR;FRA
Cannes;Cannes;;43,5513;7,0128;France;FR;FRA
Antibes;Antibes;;43,5808;7,1239;France;FR;FRA
Drancy;Drancy;;48,93;2,45;France;FR;FRA
Ajaccio;Ajaccio;;41,9267;8,7369;France;FR;FRA
M?rignac;Merignac;Merignae;44,8386;-0,6436;France;FR;FRA
Saint-Nazaire;Saint-Nazaire;;47,2806;-2,2086;France;FR;FRA
Colmar;Colmar;Kolmar;48,0817;7,3556;France;FR;FRA
Issy-les-Moulineaux;Issy-les-Moulineaux;Issy|Issy-les-Moulineau;48,8239;2,27;France;FR;FRA
Noisy-le-Grand;Noisy-le-Grand;Noisy;48,8478;2,5528;France;FR;FRA
Courcouronnes;Courcouronnes;;48,6239;2,4294;France;FR;FRA
V?nissieux;Venissieux;;45,6978;4,8867;France;FR;FRA
Cergy;Cergy;;49,0361;2,0631;France;FR;FRA
Bourges;Bourges;;47,0844;2,3964;France;FR;FRA
Levallois-Perret;Levallois-Perret;Levallois;48,895;2,2872;France;FR;FRA
La Seyne-sur-Mer;La Seyne-sur-Mer;La Seyne;43,1;5,883;France;FR;FRA
Pessac;Pessac;;44,8067;-0,6311;France;FR;FRA
Valence;Valence;;44,9333;4,8917;France;FR;FRA
Quimper;Quimper;;47,9967;-4,0964;France;FR;FRA
Antony;Antony;;48,7539;2,2975;France;FR;FRA
Ivry-sur-Seine;Ivry-sur-Seine;Ivry;48,8078;2,3747;France;FR;FRA
Mont?limar;Montelimar;;44,5581;4,7508;France;FR;FRA
Troyes;Troyes;;48,2997;4,0792;France;FR;FRA
Clichy;Clichy;Clicy;48,9044;2,3064;France;FR;FRA
Cherbourg;Cherbourg;;49,6504;-1,65;France;FR;FRA
Montauban;Montauban;;44,0181;1,3558;France;FR;FRA
Neuilly-sur-Seine;Neuilly-sur-Seine;Neuilly;48,8881;2,2686;France;FR;FRA
Chamb?ry;Chambery;;45,57;5,9118;France;FR;FRA
Niort;Niort;;46,3258;-0,4606;France;FR;FRA
Sarcelles;Sarcelles;Sarcelles-Loch?re;48,9956;2,3808;France;FR;FRA
Pantin;Pantin;;48,8966;2,4017;France;FR;FRA
Lorient;Lorient;;47,75;-3,36;France;FR;FRA
Le Blanc-Mesnil;Le Blanc-Mesnil;;48,9387;2,4614;France;FR;FRA
Beauvais;Beauvais;;49,4303;2,0952;France;FR;FRA
Maisons-Alfort;Maisons-Alfort;;48,8058;2,4378;France;FR;FRA
Hy?res;Hyeres;;43,1199;6,1316;France;FR;FRA
?pinay-sur-Seine;Epinay-sur-Seine;Epinay;48,9553;2,3092;France;FR;FRA
Meaux;Meaux;;48,9603;2,8883;France;FR;FRA
Chelles;Chelles;;48,8833;2,6;France;FR;FRA
Villejuif;Villejuif;;48,7919;2,3636;France;FR;FRA
Narbonne;Narbonne;;43,1836;3,0042;France;FR;FRA
La Roche-sur-Yon;La Roche-sur-Yon;;46,6705;-1,426;France;FR;FRA
Cholet;Cholet;;47,06;-0,8783;France;FR;FRA
Saint-Quentin;Saint-Quentin;;49,8486;3,2864;France;FR;FRA
Bobigny;Bobigny;;48,9106;2,4397;France;FR;FRA
Bondy;Bondy;;48,9022;2,4828;France;FR;FRA
Vannes;Vannes;;47,6559;-2,7603;France;FR;FRA
Clamart;Clamart;;48,8014;2,2628;France;FR;FRA
Fontenay-sous-Bois;Fontenay-sous-Bois;Fontenay;48,8517;2,4772;France;FR;FRA
Fr?jus;Frejus;;43,433;6,737;France;FR;FRA
Arles;Arles;Arles-sur-Rh?ne|Arles-Trinquetaille;43,6767;4,6278;France;FR;FRA
Sartrouville;Sartrouville;;48,9372;2,1644;France;FR;FRA
Corbeil-Essonnes;Corbeil-Essonnes;Corbeil;48,6139;2,482;France;FR;FRA
Bayonne;Bayonne;;43,49;-1,48;France;FR;FRA
Saint-Ouen;Saint-Ouen;Saint-Ouen-sur-Seine;48,9123;2,3342;France;FR;FRA
Sevran;Sevran;;48,9333;2,5333;France;FR;FRA
Cagnes-sur-Mer;Cagnes-sur-Mer;Cagnes;43,6644;7,1489;France;FR;FRA
Massy;Massy;;48,7309;2,2713;France;FR;FRA
Grasse;Grasse;;43,6667;6,9167;France;FR;FRA
Montrouge;Montrouge;;48,8172;2,3219;France;FR;FRA
Vincennes;Vincennes;;48,8478;2,4392;France;FR;FRA
Vaulx-en-Velin;Vaulx-en-Velin;Vaulx;45,7768;4,9186;France;FR;FRA
Laval;Laval;;48,0733;-0,7689;France;FR;FRA
Suresnes;Suresnes;;48,87;2,22;France;FR;FRA
Albi;Albi;;43,9289;2,1464;France;FR;FRA
Martigues;Martigues;;43,4053;5,0475;France;FR;FRA
